FIPS_Code,State,Area_Name,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021
00000,US,United States,"162,229,903","153,544,980","8,684,923",5.4,"69,717",
01000,AL,Alabama,"2,259,349","2,183,330","76,019",3.4,"53,990",100.0
01001,AL,"Autauga County, AL","26,545","25,809",736,2.8,"66,444",123.1
01003,AL,"Baldwin County, AL","99,953","97,034","2,919",2.9,"65,658",121.6
01005,AL,"Barbour County, AL","8,280","7,821",459,5.5,"38,649",71.6
01007,AL,"Bibb County, AL","8,641","8,347",294,3.4,"48,454",89.7
01009,AL,"Blount County, AL","25,377","24,779",598,2.4,"56,894",105.4
01011,AL,"Bullock County, AL","4,637","4,455",182,3.9,"32,027",59.3
01013,AL,"Butler County, AL","8,819","8,367",452,5.1,"39,442",73.1
01015,AL,"Calhoun County, AL","46,368","44,497","1,871",4.0,"48,166",89.2
01017,AL,"Chambers County, AL","15,790","15,220",570,3.6,"45,447",84.2
01019,AL,"Cherokee County, AL","11,686","11,390",296,2.5,"46,365",85.9
01021,AL,"Chilton County, AL","20,004","19,443",561,2.8,"55,142",102.1
01023,AL,"Choctaw County, AL","4,567","4,370",197,4.3,"40,601",75.2
01025,AL,"Clarke County, AL","7,736","7,286",450,5.8,"45,447",84.2
01027,AL,"Clay County, AL","6,048","5,884",164,2.7,"47,036",87.1
01029,AL,"Cleburne County, AL","5,913","5,761",152,2.6,"49,769",92.2
01031,AL,"Coffee County, AL","21,624","21,017",607,2.8,"55,052",102.0
01033,AL,"Colbert County, AL","23,609","22,690",919,3.9,"53,341",98.8
01035,AL,"Conecuh County, AL","4,390","4,182",208,4.7,"35,621",66.0
01037,AL,"Coosa County, AL","4,371","4,238",133,3.0,"45,954",85.1
01039,AL,"Covington County, AL","15,233","14,775",458,3.0,"44,188",81.8
01041,AL,"Crenshaw County, AL","6,131","5,929",202,3.3,"38,037",70.5
01043,AL,"Cullman County, AL","38,931","38,020",911,2.3,"55,036",101.9
01045,AL,"Dale County, AL","20,974","20,315",659,3.1,"50,086",92.8
01047,AL,"Dallas County, AL","13,965","12,977",988,7.1,"33,159",61.4
01049,AL,"DeKalb County, AL","31,002","30,215",787,2.5,"45,062",83.5
01051,AL,"Elmore County, AL","37,873","36,860","1,013",2.7,"63,147",117.0
01053,AL,"Escambia County, AL","14,142","13,576",566,4.0,"40,506",75.0
01055,AL,"Etowah County, AL","39,439","37,863","1,576",4.0,"46,308",85.8
01057,AL,"Fayette County, AL","6,642","6,439",203,3.1,"46,122",85.4
01059,AL,"Franklin County, AL","14,352","13,990",362,2.5,"45,440",84.2
01061,AL,"Geneva County, AL","11,069","10,762",307,2.8,"43,206",80.0
01063,AL,"Greene County, AL","2,900","2,711",189,6.5,"30,225",56.0
