FIPS_Code,Stabr,Area_name,PCTPOVALL_2021,MEDHHINC_2021
00000,US,United States,12.8,69717
01000,AL,Alabama,16.3,53990
01001,AL,Autauga County,10.7,66444
01003,AL,Baldwin County,10.8,65658
01005,AL,Barbour County,23,38649
01007,AL,Bibb County,20.6,48454
01009,AL,Blount County,12,56894
01011,AL,Bullock County,32.1,32027
01013,AL,Butler County,22.7,39442
01015,AL,Calhoun County,19.2,48166
01017,AL,Chambers County,19.7,45447
01019,AL,Cherokee County,18.2,46365
01021,AL,Chilton County,15.5,55142
01023,AL,Choctaw County,23.3,40601
01025,AL,Clarke County,19.4,45447
01027,AL,Clay County,18.4,47036
01029,AL,Cleburne County,15,49769
01031,AL,Coffee County,15.9,55052
01033,AL,Colbert County,16.5,53341
01035,AL,Conecuh County,22.4,35621
01037,AL,Coosa County,17.1,45954
01039,AL,Covington County,19.8,44188
01041,AL,Crenshaw County,17.5,38037
01043,AL,Cullman County,13.5,55036
01045,AL,Dale County,15.7,50086
01047,AL,Dallas County,29.5,33159
01049,AL,DeKalb County,19.4,45062
01051,AL,Elmore County,12,63147
01053,AL,Escambia County,23.8,40506
01055,AL,Etowah County,17.4,46308
01057,AL,Fayette County,19.6,46122
01059,AL,Franklin County,18.9,45440
01061,AL,Geneva County,21.1,43206
01063,AL,Greene County,33.2,30225
01065,AL,Hale County,22.1,41995
01067,AL,Henry County,15.6,56389
01069,AL,Houston County,19.1,48701
01071,AL,Jackson County,18.9,46998
01073,AL,Jefferson County,16.9,55210
01075,AL,Lamar County,17,44265
01077,AL,Lauderdale County,16.2,52222
01079,AL,Lawrence County,13.9,55555
01081,AL,Lee County,18,54188
01083,AL,Limestone County,9.9,69207
01085,AL,Lowndes County,28.3,36993
01087,AL,Macon County,27.5,35354
01089,AL,Madison County,10.2,78386
01091,AL,Marengo County,24.6,42048
01093,AL,Marion County,18.3,44636
01095,AL,Marshall County,15.6,50858
01097,AL,Mobile County,18.2,49848
01099,AL,Monroe County,22.3,40997
01101,AL,Montgomery County,21.7,50645
01103,AL,Morgan County,13.5,56340
01105,AL,Perry County,33.7,31522
01107,AL,Pickens County,21.1,43926
01109,AL,Pike County,23.9,38945
01111,AL,Randolph County,21.5,45889
01113,AL,Russell County,21.7,44849
01115,AL,St. Clair County,12.8,63015
01117,AL,Shelby County,7.7,85457
01119,AL,Sumter County,35.1,29490
01121,AL,Talladega County,19.1,47331
01123,AL,Tallapoosa County,18.3,47444
01125,AL,Tuscaloosa County,14.7,56274
01127,AL,Walker County,20.2,46343
01129,AL,Washington County,20.6,49795
01131,AL,Wilcox County,32.4,30071
01133,AL,Winston County,19,47176
02000,AK,Alaska,10.8,78437
02013,AK,Aleutians East Borough,18.4,71492
02016,AK,Aleutians West Census Area,10.4,86050
02020,AK,Anchorage Borough,9.5,86152
02050,AK,Bethel Census Area,24.6,54849
02060,AK,Bristol Bay Borough,11.3,88516
02063,AK,Chugach Census Area,7.7,88029
02066,AK,Copper River Census Area,14.3,61288
02068,AK,Denali Borough,7.5,85251
02070,AK,Dillingham Census Area,21.8,58389
02090,AK,Fairbanks North Star Borough,7.9,76754
02100,AK,Haines Borough,10.8,63155
02105,AK,Hoonah-Angoon Census Area,17,56555
02110,AK,Juneau Borough,7.6,89922
02122,AK,Kenai Peninsula Borough,11.5,71111
02130,AK,Ketchikan Gateway Borough,11.3,73260
02150,AK,Kodiak Island Borough,8.5,80863
02158,AK,Kusilvak Census Area,30.4,38203
02164,AK,Lake and Peninsula Borough,20.6,51205
02170,AK,Matanuska-Susitna Borough,10.5,80164
02180,AK,Nome Census Area,19.8,65578
02185,AK,North Slope Borough,12.4,95041
02188,AK,Northwest Arctic Borough,20.9,67586
02195,AK,Petersburg Borough,8,71878
02198,AK,Prince of Wales-Hyder Census Area,15,56226
02220,AK,Sitka Borough,8.6,78248
02230,AK,Skagway Municipality,6.1,65712
02240,AK,Southeast Fairbanks Census Area,12.9,68347
02275,AK,Wrangell City and Borough,11.3,64732
02282,AK,Yakutat Borough,12.2,73014
02290,AK,Yukon-Koyukuk Census Area,23.7,44934
04000,AZ,Arizona,12.9,68967
04001,AZ,Apache County,28.4,41002
04003,AZ,Cochise County,17.1,55748
04005,AZ,Coconino County,16.9,63829
04007,AZ,Gila County,16.8,52665
04009,AZ,Graham County,20.4,52644
04011,AZ,Greenlee County,9.5,71669
04012,AZ,La Paz County,20.3,44330
04013,AZ,Maricopa County,11.3,76230
04015,AZ,Mohave County,18,48169
04017,AZ,Navajo County,24.8,49057
04019,AZ,Pima County,14.7,60604
04021,AZ,Pinal County,10.7,70835
04023,AZ,Santa Cruz County,20.4,49216
04025,AZ,Yavapai County,12.5,57676
04027,AZ,Yuma County,17.3,55991
05000,AR,Arkansas,16,52577
05001,AR,Arkansas County,17.7,50928
05003,AR,Ashley County,21.3,44030
05005,AR,Baxter County,13.4,45116
05007,AR,Benton County,7.9,78974
05009,AR,Boone County,13,48700
05011,AR,Bradley County,19.6,40454
05013,AR,Calhoun County,14.6,49977
05015,AR,Carroll County,16.8,49225
05017,AR,Chicot County,27.9,34857
05019,AR,Clark County,20,47158
05021,AR,Clay County,17.9,41419
05023,AR,Cleburne County,16.7,50200
05025,AR,Cleveland County,14.1,53705
05027,AR,Columbia County,23.2,44651
05029,AR,Conway County,16.9,47741
05031,AR,Craighead County,18.2,52490
05033,AR,Crawford County,14.7,54065
05035,AR,Crittenden County,23,43821
05037,AR,Cross County,16.7,45262
05039,AR,Dallas County,20.2,42442
05041,AR,Desha County,27.6,39042
05043,AR,Drew County,16.5,46572
05045,AR,Faulkner County,13.6,57573
05047,AR,Franklin County,17.2,47834
05049,AR,Fulton County,18,41557
05051,AR,Garland County,14.5,48053
05053,AR,Grant County,11.2,67088
05055,AR,Greene County,12.9,53920
05057,AR,Hempstead County,21.2,41281
05059,AR,Hot Spring County,17.8,51662
05061,AR,Howard County,17.9,42733
05063,AR,Independence County,18.9,48957
05065,AR,Izard County,18.4,40788
05067,AR,Jackson County,22.5,37815
05069,AR,Jefferson County,20.3,46100
05071,AR,Johnson County,18.1,43003
05073,AR,Lafayette County,23.7,38777
05075,AR,Lawrence County,20.4,44661
05077,AR,Lee County,34.9,29714
05079,AR,Lincoln County,22.6,45435
05081,AR,Little River County,15.7,46619
05083,AR,Logan County,15.4,45558
05085,AR,Lonoke County,11,64633
05087,AR,Madison County,15.4,49691
05089,AR,Marion County,17.8,42892
05091,AR,Miller County,20.4,45450
05093,AR,Mississippi County,23.9,41007
05095,AR,Monroe County,25.3,37113
05097,AR,Montgomery County,19.9,41359
05099,AR,Nevada County,21.2,40283
05101,AR,Newton County,19.1,41823
05103,AR,Ouachita County,20.2,47169
05105,AR,Perry County,15.2,51204
05107,AR,Phillips County,35.7,32419
05109,AR,Pike County,18.6,43710
05111,AR,Poinsett County,22.2,42639
05113,AR,Polk County,19.3,43166
05115,AR,Pope County,18,47049
05117,AR,Prairie County,15.7,59367
05119,AR,Pulaski County,17.6,53597
05121,AR,Randolph County,17,43484
05123,AR,St. Francis County,32.2,36781
05125,AR,Saline County,8.5,68107
05127,AR,Scott County,17.3,39974
05129,AR,Searcy County,20.9,35422
05131,AR,Sebastian County,19.5,49170
05133,AR,Sevier County,18.3,46651
05135,AR,Sharp County,18.3,39183
05137,AR,Stone County,20.8,37782
05139,AR,Union County,17.8,47315
05141,AR,Van Buren County,17.1,39629
05143,AR,Washington County,12.4,64218
05145,AR,White County,16.3,51660
05147,AR,Woodruff County,25.2,37331
05149,AR,Yell County,15.1,48526
06000,CA,California,12.3,84831
06001,CA,Alameda County,9.4,108971
06003,CA,Alpine County,15.8,87570
06005,CA,Amador County,11.1,68159
06007,CA,Butte County,16.6,62982
06009,CA,Calaveras County,13.5,68298
06011,CA,Colusa County,11.4,60725
06013,CA,Contra Costa County,8.8,110595
06015,CA,Del Norte County,21.4,48108
06017,CA,El Dorado County,8.8,87689
06019,CA,Fresno County,19.4,63140
06021,CA,Glenn County,15.5,56741
06023,CA,Humboldt County,19.4,53924
06025,CA,Imperial County,17.3,50970
06027,CA,Inyo County,12.8,62381
06029,CA,Kern County,18.5,57926
06031,CA,Kings County,17.7,60810
06033,CA,Lake County,16.5,55801
06035,CA,Lassen County,18.8,56923
06037,CA,Los Angeles County,14.1,77356
06039,CA,Madera County,20.4,60241
06041,CA,Marin County,7.8,118472
06043,CA,Mariposa County,14.1,60377
06045,CA,Mendocino County,16.1,57516
06047,CA,Merced County,21.9,54703
06049,CA,Modoc County,19.9,49273
06051,CA,Mono County,9.8,70945
06053,CA,Monterey County,12.1,81404
06055,CA,Napa County,9,94127
06057,CA,Nevada County,11.8,77220
06059,CA,Orange County,9.9,100210
06061,CA,Placer County,6.6,103588
06063,CA,Plumas County,13,58154
06065,CA,Riverside County,11.6,78690
06067,CA,Sacramento County,13,79611
06069,CA,San Benito County,8.9,95187
06071,CA,San Bernardino County,13.2,74218
06073,CA,San Diego County,10.7,90756
06075,CA,San Francisco County,11.4,119776
06077,CA,San Joaquin County,12.3,79598
06079,CA,San Luis Obispo County,13.1,79688
06081,CA,San Mateo County,6.8,131151
06083,CA,Santa Barbara County,15.2,83185
06085,CA,Santa Clara County,6.9,141161
06087,CA,Santa Cruz County,10.6,90370
06089,CA,Shasta County,14,60187
06091,CA,Sierra County,12.3,60659
06093,CA,Siskiyou County,16.8,50069
06095,CA,Solano County,10,87348
06097,CA,Sonoma County,9.1,92999
06099,CA,Stanislaus County,14.1,73151
06101,CA,Sutter County,15.5,63246
06103,CA,Tehama County,15.6,53654
06105,CA,Trinity County,19.1,45508
06107,CA,Tulare County,18.7,57398
06109,CA,Tuolumne County,13.2,61396
06111,CA,Ventura County,8.9,95819
06113,CA,Yolo County,14.8,76247
06115,CA,Yuba County,15.6,60764
08000,CO,Colorado,9.7,82228
08001,CO,Adams County,10,80831
08003,CO,Alamosa County,18.3,51009
08005,CO,Arapahoe County,8.7,84308
08007,CO,Archuleta County,11.4,68025
08009,CO,Baca County,20.3,44257
08011,CO,Bent County,30,37185
08013,CO,Boulder County,10.7,90327
08014,CO,Broomfield County,4.9,106413
08015,CO,Chaffee County,10.4,65987
08017,CO,Cheyenne County,12.9,58544
08019,CO,Clear Creek County,7.6,78312
08021,CO,Conejos County,16.7,45931
08023,CO,Costilla County,23.1,35416
08025,CO,Crowley County,37.8,38049
08027,CO,Custer County,10.5,63505
08029,CO,Delta County,13.9,52403
08031,CO,Denver County,11.7,81262
08033,CO,Dolores County,13.9,55157
08035,CO,Douglas County,2.9,129839
08037,CO,Eagle County,7.1,94928
08039,CO,Elbert County,5.4,114853
08041,CO,El Paso County,9.6,79094
08043,CO,Fremont County,15.9,51732
08045,CO,Garfield County,9.2,78940
08047,CO,Gilpin County,6.9,82370
08049,CO,Grand County,7.2,78779
08051,CO,Gunnison County,12.3,63872
08053,CO,Hinsdale County,7.6,66213
08055,CO,Huerfano County,18.6,46798
08057,CO,Jackson County,14.8,55535
08059,CO,Jefferson County,7.3,94401
08061,CO,Kiowa County,12.5,61430
08063,CO,Kit Carson County,12.1,56272
08065,CO,Lake County,11.3,64416
08067,CO,La Plata County,10.1,74774
08069,CO,Larimer County,11.2,78681
08071,CO,Las Animas County,21,42708
08073,CO,Lincoln County,14.9,51975
08075,CO,Logan County,16.4,53234
08077,CO,Mesa County,10.6,63531
08079,CO,Mineral County,9.6,62213
08081,CO,Moffat County,10.8,64133
08083,CO,Montezuma County,15.2,53337
08085,CO,Montrose County,12.5,56686
08087,CO,Morgan County,12.4,61849
08089,CO,Otero County,19.7,45658
08091,CO,Ouray County,6.4,80686
08093,CO,Park County,7.3,84361
08095,CO,Phillips County,11.9,56577
08097,CO,Pitkin County,6.7,96316
08099,CO,Prowers County,19.2,48337
08101,CO,Pueblo County,16.2,56311
08103,CO,Rio Blanco County,10.2,65334
08105,CO,Rio Grande County,14.4,52353
08107,CO,Routt County,6,93776
08109,CO,Saguache County,21.6,43366
08111,CO,San Juan County,13.8,54146
08113,CO,San Miguel County,9,79742
08115,CO,Sedgwick County,14.2,45645
08117,CO,Summit County,6.7,90297
08119,CO,Teller County,7.9,76715
08121,CO,Washington County,11.6,57522
08123,CO,Weld County,9.8,84826
08125,CO,Yuma County,13.5,56161
09000,CT,Connecticut,10.1,83628
09001,CT,Fairfield County,9.1,100703
09003,CT,Hartford County,10.6,79958
09005,CT,Litchfield County,8.6,84689
09007,CT,Middlesex County,6.6,94735
09009,CT,New Haven County,12,75094
09011,CT,New London County,8.9,78552
09013,CT,Tolland County,11.1,86430
09015,CT,Windham County,11.6,71581
10000,DE,Delaware,11.5,71636
10001,DE,Kent County,12.2,64670
10003,DE,New Castle County,11.4,74088
10005,DE,Sussex County,11.5,70500
11000,DC,District of Columbia,16.8,91072
11001,DC,District of Columbia,16.8,91072
12000,FL,Florida,13.2,63054
